City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
498,Cavalcante,BR,-13.7975,-47.4583,73.98,83,59,3.09,light rain
499,Tezu,IN,27.9167,96.1667,52.5,64,1,4.23,clear sky
500,Padang,ID,-0.9492,100.3543,76.48,82,95,4.23,overcast clouds
501,Pringsewu,ID,-5.3582,104.9744,73.15,95,100,1.16,overcast clouds
502,Isagarh,IN,24.8333,77.8833,55.83,37,0,3.91,clear sky
503,Sept-Iles,CA,50.2001,-66.3821,33.06,90,100,3.44,overcast clouds
504,Ibra,OM,22.6906,58.5334,63.45,59,0,2.57,clear sky
505,Coquimbo,CL,-29.9533,-71.3436,69.24,67,2,6.04,clear sky
506,Hamilton,US,39.1834,-84.5333,31.75,78,100,4.0,overcast clouds
507,Milledgeville,US,33.0801,-83.2321,72.1,40,0,3.44,clear sky
508,Tanggu,CN,39.0211,117.6469,26.56,76,100,15.46,overcast clouds
509,Matay,EG,28.419,30.7792,58.68,34,0,6.29,clear sky
510,Atyashevo,RU,54.5644,46.0691,22.57,96,98,9.73,overcast clouds
511,Teliu,RO,45.6979,25.858,30.65,37,22,2.04,few clouds
512,Soe,ID,-9.8607,124.284,65.48,95,99,2.28,overcast clouds
513,Winneba,GH,5.3511,-0.6231,80.42,83,64,8.63,broken clouds
514,Eenhana,NA,-17.4667,16.3333,71.06,77,83,3.83,broken clouds
515,Cap-Aux-Meules,CA,47.3821,-61.8597,36.16,84,100,20.0,light rain
516,Springbok,ZA,-29.6643,17.8865,76.48,37,98,6.55,light rain
517,Poum,NC,-20.2333,164.0167,80.92,74,100,3.29,overcast clouds
518,Takoradi,GH,4.8845,-1.7554,80.29,81,96,7.85,overcast clouds
519,Saint-Louis,SN,16.3333,-15.0,78.26,12,78,12.12,broken clouds
520,Komyshuvakha,UA,47.7176,35.5288,34.74,70,100,15.73,overcast clouds
521,Andradas,BR,-22.0681,-46.5692,74.25,82,63,2.17,broken clouds
