City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Tarakan,ID,79.05,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
210,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
213,Moratuwa,LK,75.22,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
216,Sorong,ID,79.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
217,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
219,Kaoma,ZM,64.83,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
221,Kulhudhuffushi,MV,81.03,overcast clouds,6.6221,73.07,Haajy Guest House 1
222,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
223,Nishihara,JP,69.08,overcast clouds,26.1842,127.7558,Minshuku Agaihama
225,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
226,Kieta,PG,77.99,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
230,Anito,PH,75.97,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
233,Monywa,MM,62.85,broken clouds,22.1167,95.1333,Monywa Hotel
235,Kaeo,NZ,66.6,overcast clouds,-35.1,173.7833,Bushido Lodge
240,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
242,Catuday,PH,76.37,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
243,Constitucion,CL,71.38,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
248,Lagunas,PE,86.04,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
249,Saint-Pierre,RE,78.44,broken clouds,-21.3393,55.4781,Lindsey Hôtel
251,Mazagao,BR,89.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
252,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
254,Roseburg,US,63.36,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
258,Camacha,PT,60.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
260,Jilib,SO,74.77,scattered clouds,0.4883,42.7854,Waadi Hotel
261,Innisfail,AU,72.43,light rain,-17.5333,146.0333,Moondarra Motel
262,Kismayo,SO,77.02,overcast clouds,-0.3582,42.5454,Agan-Hotel
263,Kalabo,ZM,67.6,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
264,Carora,VE,88.63,overcast clouds,10.1755,-70.0827,Hotel Irpinia
267,Lompoc,US,86.14,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
270,Barranca,PE,74.37,few clouds,-10.75,-77.7667,El Olivar Hospedaje
271,Inirida,CO,88.5,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
274,Moranbah,AU,69.17,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
275,Tucuman,AR,71.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
280,Eureka,US,67.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
281,Tual,ID,82.45,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
282,Ovalle,CL,82.38,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
290,Kerema,PG,75.11,clear sky,-7.9631,145.7785,Frena Lodge
291,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
294,Vanimo,PG,77.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
298,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
300,Ternate,ID,79.92,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
301,Jacareacanga,BR,81.25,moderate rain,-6.2222,-57.7528,Casa do Ian😎
303,Hualmay,PE,75.36,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
309,Tonj,SS,81.79,clear sky,7.2737,28.6822,Lakan Hotel
310,Dalby,AU,65.1,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
311,Manakara,MG,73.06,few clouds,-22.1333,48.0167,La Residence Manakara
313,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
318,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
320,Palauig,PH,78.3,overcast clouds,15.435,119.9045,Alperi Botique Resort
321,Nouadhibou,MR,73.38,scattered clouds,20.931,-17.0347,El Medina
322,Gummidipundi,IN,79.99,clear sky,13.4,80.15,Le Raj Courtyard
326,Bundaberg,AU,68.29,scattered clouds,-24.85,152.35,Takalvan Motel
328,Acapulco,MX,85.26,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
331,Salalah,OM,70.16,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
332,Luangwa,ZM,72.16,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
334,Wanning,CN,65.59,overcast clouds,18.8003,110.3967,Paradise Hotel
336,Guanica,PR,82.33,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
337,Kavaratti,IN,80.55,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
341,Camopi,GF,77.45,broken clouds,3.1655,-52.3158,La pousada
344,Potam,MX,78.93,overcast clouds,27.6,-110.3833,Ejido La Pimienta
345,Lanja,IN,70.03,few clouds,16.85,73.55,Naivedyam Farmstay
348,Medina,SA,64.83,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
349,Atar,MR,72.57,few clouds,20.5169,-13.0499,Oumou Elghoura
350,Cidreira,BR,77.52,clear sky,-30.1811,-50.2056,Hotel Castelo
351,Vaitape,PF,81.23,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
352,Maputo,MZ,78.48,few clouds,-25.9653,32.5892,Pestana Rovuma
354,Coahuayana,MX,92.71,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
360,Aswan,EG,70.9,clear sky,24.0934,32.907,Nuba Nile
361,Luanda,AO,77.0,clear sky,-8.8368,13.2343,Hotel Fórum
364,Papara,BR,84.6,overcast clouds,-3.9839,-38.7273,Bela vista Maranguape
367,Chodavaram,IN,75.04,broken clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
370,Bukene,TZ,65.1,overcast clouds,-4.2333,32.8833,New Millenium Lodge
372,Afua,BR,81.93,light rain,-0.1567,-50.3867,Hotel Dias
373,Codrington,AU,69.67,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
375,Altar,MX,82.45,clear sky,30.7,-111.8167,Hotel Maria Elena
377,Lagoa,PT,60.26,overcast clouds,39.05,-27.9833,Casa Das Faias
378,Mangrol,IN,68.32,clear sky,21.1167,70.1167,Hotel The Royal Honours
381,Fomento,CU,84.2,broken clouds,22.1039,-79.7217,HOTEL ESCAMBRAY
382,Chimbote,PE,75.7,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
387,Batie,BF,83.5,few clouds,9.8833,-2.9167,Auberge SONDAR AFACI
390,Sur,OM,69.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
392,Mana,GF,78.73,broken clouds,5.6592,-53.7767,LE SAMANA
393,Malanje,AO,68.09,overcast clouds,-9.5402,16.341,Hotel Ginga
395,Benguela,AO,77.16,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
401,Maningrida,AU,79.79,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
402,Laguna,US,79.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
405,Limbang,MY,75.51,overcast clouds,4.75,115.0,Purnama Hotel
406,Ngunguru,NZ,68.61,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
407,Pathein,MM,68.99,few clouds,16.7833,94.7333,New Pammawaddy Hotel
411,Mollendo,PE,73.62,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
412,Dingle,PH,74.17,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
413,Ancud,CL,80.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
414,Tacoaleche,MX,62.87,clear sky,22.8167,-102.4167,Iris ariana davila
415,Liwonde,MW,70.66,light rain,-15.0506,35.2035,Sun Village Hotel
416,Ilhabela,BR,76.57,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
417,Hobyo,SO,77.13,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
419,Ankpa,NG,80.08,scattered clouds,7.3706,7.6253,AA Suites
420,Sinazongwe,ZM,74.95,broken clouds,-17.2614,27.4618,Lakeview Lodge
422,Acarau,BR,82.63,overcast clouds,-2.8856,-40.12,castelo pizzaria
425,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
427,Salinas,US,81.03,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
428,Morondava,MG,81.61,overcast clouds,-20.2833,44.2833,La Case Bambou
